A,TB001,1,TB001-1,10100,5+,,,,200.00,0.00,0.00,0.00,10002,12.00,,,
A,TB001,1,TB001-1,10101,3*,,,,1.00,0.00,0.00,0.00,20001,20.00,,,
A,TB001,1,TB001-1,10101,4,,,,1.00,0.00,0.00,0.00,20002,15.00,,,
A,TB001,2,,10101,3,,,,1.00,0.00,0.00,0.00,20001,20.00,,,
A,TB001,2,TB001-2,10101,4,,,,20.00,0.00,0.00,0.00,20002,15.00,,,
A,TB001,2,TB001-2,10101,5,,,,20.00,0.00,0.00,0.00,,0.00,,,
A,TB001,2,TB001-2,10101,6,,,,2000.00,0.00,0.00,0.00,,0.00,,,
A,TB001,2,TB001-2,10101,9,,,,2000.00,0.00,0.00,0.00,,0.00,,,
A,TB001,3,,10101,4,,,,1.00,0.00,0.00,0.00,20002,15.00,,,
A,TB002,1,,10101,4,,,,20.00,0.00,0.00,0.00,,0.00,,,
A,TB002,1,,10101,5,,,,20.00,0.00,0.00,0.00,,0.00,,,
A,TB003,1,,10101,6,,,,20.00,0.00,0.00,0.00,,0.00,,,
A,TB003,2,,10101,9,,,,2000.00,0.00,0.00,0.00,,0.00,,,
